index,d__Archaea;p__Euryarchaeota;c__Methanobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Firmicutes;c__Incertae_Sedis,d__Bacteria;p__Firmicutes;c__Negativicutes,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Synergistota;c__Synergistia,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,Group,sampleid_description
C39,5.0,7.0,3219.0,8552.0,0.0,3.0,162.0,8368.0,0.0,13.0,0.0,0.0,0.0,83.0,0.0,0.0,5.0,C,C39
C40,0.0,522.0,0.0,24.0,0.0,0.0,77.0,438.0,0.0,54.0,0.0,0.0,0.0,29669.0,0.0,0.0,0.0,C,C40
C42,21.0,46.0,50.0,3737.0,0.0,159.0,29.0,10200.0,0.0,1655.0,0.0,0.0,0.0,585.0,8.0,0.0,0.0,C,C42
C43,26.0,181.0,557.0,3513.0,0.0,85.0,54.0,6518.0,5.0,203.0,0.0,0.0,0.0,2569.0,30.0,0.0,0.0,C,C43
C44,0.0,733.0,286.0,2282.0,0.0,19.0,59.0,12364.0,0.0,171.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,C,C44
C46,0.0,1516.0,882.0,2912.0,0.0,6.0,34.0,10815.0,0.0,556.0,16.0,0.0,0.0,158.0,0.0,0.0,0.0,C,C46
C49,0.0,98.0,31.0,0.0,0.0,0.0,1365.0,1412.0,0.0,23.0,0.0,24.0,0.0,18067.0,0.0,0.0,0.0,C,C49
C50,0.0,787.0,116.0,2308.0,0.0,113.0,474.0,9422.0,0.0,289.0,0.0,0.0,0.0,242.0,0.0,0.0,6.0,C,C50
C51,103.0,47.0,60.0,1581.0,0.0,7.0,61.0,11733.0,0.0,426.0,0.0,2.0,0.0,154.0,0.0,0.0,0.0,C,C51
C52,0.0,64.0,414.0,1469.0,0.0,0.0,260.0,4195.0,0.0,1236.0,0.0,11.0,12.0,24138.0,4.0,0.0,12.0,C,C52
C54,0.0,1633.0,47.0,557.0,0.0,67.0,169.0,31724.0,0.0,1178.0,0.0,0.0,0.0,1372.0,0.0,0.0,2.0,C,C54
C55,0.0,2749.0,16.0,3459.0,0.0,0.0,215.0,14600.0,0.0,1763.0,0.0,9.0,0.0,1202.0,0.0,0.0,0.0,C,C55
C57,0.0,40.0,59.0,336.0,0.0,26.0,96.0,16829.0,0.0,400.0,0.0,3.0,0.0,1349.0,0.0,0.0,688.0,C,C57
C58,0.0,236.0,232.0,48.0,0.0,8.0,262.0,16669.0,0.0,27.0,0.0,29.0,0.0,8702.0,0.0,0.0,151.0,C,C58
C59,0.0,2131.0,18.0,8173.0,0.0,0.0,135.0,3286.0,0.0,1092.0,33.0,0.0,0.0,3799.0,0.0,0.0,0.0,C,C59
