"OTUID"	"Taxonomy"	"SUM_Abundance"
"dc117dc20d071a785eac10a04adff241"	"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x"	67
"f638b2b6e4dff3e95b0e0f1be9a20cf8"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides"	41
"3981d9783fe1e9e6c7c6cbd4c0db84d6"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella"	26
"0fb65b97cfcb0d59dfb10e73fc2e6e32"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus"	363
"57378dc53db0a0dd8a8a0d3b4ea0ac5e"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae"	6356
"1e29e9509d4b7980a0651275af18e280"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	226
"1cb79d5275187534b0c9403c523c210f"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Veillonella"	658
"a3f604396698a3ce559b523300320991"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces"	147
"59af075a1ee2de691d4fc404fc4d93ec"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor"	50
"8565af8b34d54456e6cd456d528ca70e"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_striatum"	70
"dd02f804940382946d4440c6797873d9"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides"	429
