Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11825927_2	SRR11825927_2.fastq	Conventional base calls	Sanger / Illumina 1.9	37384.0	0.0	301.0	56.0	26.880483629360153	301.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825928_1	SRR11825928_1.fastq	Conventional base calls	Sanger / Illumina 1.9	37866.0	0.0	295.0	52.0	8.881318333069244	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825928_2	SRR11825928_2.fastq	Conventional base calls	Sanger / Illumina 1.9	37866.0	0.0	295.0	53.0	22.32345639888026	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825929_1	SRR11825929_1.fastq	Conventional base calls	Sanger / Illumina 1.9	49160.0	0.0	298.0	54.0	12.268104149715215	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825929_2	SRR11825929_2.fastq	Conventional base calls	Sanger / Illumina 1.9	49160.0	0.0	301.0	54.0	30.502441008950363	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825930_1	SRR11825930_1.fastq	Conventional base calls	Sanger / Illumina 1.9	36561.0	0.0	296.0	57.0	13.344820984108749	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825930_2	SRR11825930_2.fastq	Conventional base calls	Sanger / Illumina 1.9	36561.0	0.0	298.0	57.0	28.872295615546623	298.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825931_1	SRR11825931_1.fastq	Conventional base calls	Sanger / Illumina 1.9	47364.0	0.0	295.0	53.0	8.647918250147791	295.0	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825931_2	SRR11825931_2.fastq	Conventional base calls	Sanger / Illumina 1.9	47364.0	0.0	295.0	53.0	23.09560003378093	295.0	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825932_1	SRR11825932_1.fastq	Conventional base calls	Sanger / Illumina 1.9	46384.0	0.0	296.0	57.0	12.09253190755433	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825932_2	SRR11825932_2.fastq	Conventional base calls	Sanger / Illumina 1.9	46384.0	0.0	298.0	56.0	27.183942738875473	298.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825933_1	SRR11825933_1.fastq	Conventional base calls	Sanger / Illumina 1.9	34973.0	0.0	297.0	53.0	12.275183713150144	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825933_2	SRR11825933_2.fastq	Conventional base calls	Sanger / Illumina 1.9	34973.0	0.0	299.0	53.0	22.068452806450694	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825934_1	SRR11825934_1.fastq	Conventional base calls	Sanger / Illumina 1.9	44825.0	0.0	298.0	52.0	12.885666480758506	298.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825934_2	SRR11825934_2.fastq	Conventional base calls	Sanger / Illumina 1.9	44825.0	0.0	301.0	53.0	31.645287228109314	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825935_1	SRR11825935_1.fastq	Conventional base calls	Sanger / Illumina 1.9	39708.0	0.0	295.0	53.0	8.368590712199053	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
